Unnamed: 0,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price,Price_Chng,Current_Age,Gas_Money,CC_to_L
2,Honda Jazz V,Chennai,2011,46000,Petrol,Manual,First,13.0,1199,88.7,5.0,8.61,4.5,4.11,12,4104.62,1.199
7,Toyota Innova Crysta 2.8 GX AT 8S,Mumbai,2016,36000,Diesel,Automatic,First,11.36,2755,171.5,8.0,21.0,17.5,3.5,7,3676.06,2.755
10,Maruti Ciaz Zeta,Kochi,2018,25692,Petrol,Manual,First,21.56,1462,103.25,5.0,10.65,9.95,0.7,5,1382.32,1.462
15,Mitsubishi Pajero Sport 4X4,Delhi,2014,110000,Diesel,Manual,First,13.5,2477,175.56,7.0,32.01,15.0,17.01,9,9451.85,2.477
20,BMW 3 Series 320d,Kochi,2014,32982,Diesel,Automatic,First,22.69,1995,190.0,5.0,47.87,18.55,29.32,9,1686.17,1.995
28,Honda WRV i-VTEC VX,Kochi,2018,37430,Petrol,Manual,First,17.5,1199,88.7,5.0,10.57,9.9,0.67,5,2481.07,1.199
34,Volkswagen Vento 1.6 Highline,Coimbatore,2014,55431,Petrol,Manual,Second,16.09,1598,103.5,5.0,12.33,6.98,5.35,9,3996.27,1.598
36,Maruti Vitara Brezza ZDi Plus,Kochi,2018,50075,Diesel,Manual,First,24.3,1248,88.5,5.0,11.12,8.63,2.49,5,2390.41,1.248
44,Hyundai Elantra 2.0 SX Option AT,Bangalore,2014,46374,Petrol,Automatic,First,14.62,1999,149.92,5.0,23.64,8.85,14.79,9,3679.47,1.999
47,Toyota Innova Crysta 2.7 GX MT,Bangalore,2012,70704,Petrol,Manual,First,11.25,2694,163.7,7.0,18.64,10.95,7.69,11,7290.37,2.694
60,Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,2017,22000,Diesel,Manual,First,13.68,2393,147.8,8.0,19.34,16.5,2.84,6,1865.5,2.393
67,Mercedes-Benz C-Class Progressive C 220d,Coimbatore,2019,15369,Diesel,Automatic,First,0.0,1950,194.0,5.0,49.14,35.67,13.47,4,inf,1.95
69,Hyundai Creta 1.4 E Plus Diesel,Mumbai,2018,13000,Diesel,Manual,First,22.1,1396,88.7,5.0,11.81,10.5,1.31,5,682.35,1.396
73,Nissan Terrano XV D Pre,Kochi,2015,56066,Diesel,Manual,First,19.64,1461,108.5,5.0,16.65,6.92,9.73,8,3311.43,1.461
81,Tata Zest Revotron 1.2T XE,Pune,2017,70000,Petrol,Manual,First,17.57,1193,88.7,5.0,6.67,4.5,2.17,6,4621.51,1.193
102,Datsun GO Plus T Petrol,Pune,2017,32851,Petrol,Manual,First,19.83,1198,67.0,7.0,6.45,3.95,2.5,6,1921.69,1.198
106,Toyota Etios Liva 1.2 G,Ahmedabad,2014,53000,Petrol,Manual,First,17.71,1197,78.9,5.0,6.41,3.9,2.51,9,3471.49,1.197
110,Toyota Innova Crysta 2.8 ZX AT,Mumbai,2017,30000,Diesel,Automatic,First,11.36,2755,171.5,7.0,27.0,19.25,7.75,6,3063.38,2.755
111,Maruti Eeco 5 Seater AC,Coimbatore,2017,38053,Petrol,Manual,First,15.1,1196,73.0,5.0,5.13,3.91,1.22,6,2923.28,1.196
113,BMW 3 Series 320d Luxury Line,Mumbai,2015,56087,Diesel,Automatic,First,22.69,1995,190.0,5.0,54.43,20.75,33.68,8,2867.38,1.995
117,Nissan Micra XV CVT,Coimbatore,2016,39882,Petrol,Automatic,First,19.15,1198,75.94,5.0,9.51,6.55,2.96,7,2415.83,1.198
119,Maruti Vitara Brezza VDi,Mumbai,2016,55000,Diesel,Manual,First,24.3,1248,88.5,5.0,9.96,7.5,2.46,7,2625.51,1.248
122,Hyundai Verna CRDi 1.6 SX Option,Kolkata,2018,10250,Diesel,Manual,First,22.0,1582,126.2,5.0,14.44,10.95,3.49,5,540.45,1.582
133,Maruti Alto K10 VXI,Hyderabad,2014,88500,Petrol,Manual,First,24.07,998,67.1,5.0,4.53,2.6,1.93,9,4265.06,0.998
134,Mercedes-Benz SLC 43 AMG,Kolkata,2017,13372,Petrol,Automatic,First,19.0,2996,362.07,2.0,95.04,54.0,41.04,6,816.4,2.996
135,Hyundai Verna VTVT 1.6 AT SX Plus,Kochi,2019,12645,Petrol,Automatic,First,17.0,1591,121.3,5.0,13.49,11.5,1.99,4,862.84,1.591
148,Audi RS5 Coupe,Mumbai,2013,23000,Petrol,Automatic,First,11.05,2894,444.0,4.0,1.28,37.0,-35.72,10,2414.48,2.894
149,BMW 3 Series Luxury Line,Mumbai,2014,48000,Diesel,Automatic,First,21.76,1995,190.0,5.0,60.88,26.5,34.38,9,2558.82,1.995
173,Hyundai Grand i10 1.2 Kappa Asta,Kolkata,2019,1000,Petrol,Manual,First,18.9,1197,81.86,5.0,7.39,6.5,0.89,4,61.38,1.197
182,BMW 5 Series 520d Luxury Line,Hyderabad,2014,51000,Diesel,Automatic,First,22.48,1995,190.0,5.0,69.47,33.5,35.97,9,2631.67,1.995
187,Maruti Baleno Alpha,Kochi,2017,24773,Petrol,Manual,First,21.4,1197,83.1,5.0,8.78,7.5,1.28,6,1342.84,1.197
193,Maruti Ertiga ZDI,Mumbai,2016,33000,Diesel,Manual,First,25.47,1248,88.5,7.0,12.74,8.5,4.24,7,1502.94,1.248
200,Mahindra NuvoSport N6,Chennai,2017,29000,Diesel,Manual,Second,17.45,1493,100.0,7.0,10.52,6.5,4.02,6,1927.79,1.493
201,Maruti Vitara Brezza ZDi Plus Dual Tone,Mumbai,2016,20000,Diesel,Manual,First,24.3,1248,88.5,5.0,11.98,9.0,2.98,7,954.73,1.248
210,Honda Amaze S Diesel,Kolkata,2013,45000,Diesel,Manual,First,27.4,1498,98.6,5.0,8.54,3.25,5.29,10,1905.11,1.498
219,Skoda Superb Style 1.8 TSI AT,Hyderabad,2017,26000,Petrol,Automatic,First,14.67,1798,177.46,5.0,33.58,26.0,7.58,6,2055.9,1.798
223,Mahindra Verito 1.5 D4 BSIV,Hyderabad,2013,107000,Diesel,Manual,First,21.03,1461,65.0,5.0,9.12,3.7,5.42,10,5902.04,1.461
225,Maruti Wagon R VXI,Kolkata,2013,32000,Petrol,Manual,First,22.5,998,67.04,5.0,5.29,2.65,2.64,10,1649.78,0.998
228,Mini Cooper Convertible S,Kochi,2017,26327,Petrol,Automatic,First,16.82,1998,189.08,4.0,44.28,35.67,8.61,6,1815.66,1.998
235,Toyota Innova Crysta 2.8 GX AT,Kochi,2019,14165,Diesel,Automatic,First,11.36,2755,171.5,7.0,20.74,19.64,1.1,4,1446.43,2.755
237,Honda City i-VTEC V,Kolkata,2011,32572,Petrol,Manual,First,17.4,1497,117.3,5.0,11.74,3.87,7.87,12,2171.47,1.497
256,Toyota Innova Crysta 2.4 ZX MT,Pune,2017,43000,Diesel,Manual,First,13.68,2393,147.8,7.0,25.52,18.65,6.87,6,3646.2,2.393
261,Hyundai Verna CRDi 1.6 SX,Hyderabad,2008,143275,Diesel,Manual,First,22.0,1582,126.2,5.0,14.07,2.6,11.47,15,7554.5,1.582
264,Mercedes-Benz GLE 350d,Coimbatore,2017,29819,Diesel,Automatic,First,11.57,2987,254.79,5.0,95.13,61.29,33.84,6,2989.63,2.987
277,Tata Zest Quadrajet 1.3 75PS XE,Pune,2017,121900,Diesel,Manual,First,22.95,1248,74.0,5.0,8.34,3.75,4.59,6,6161.39,1.248
290,Tata Zest Quadrajet 1.3 75PS XE,Pune,2018,45000,Diesel,Manual,First,22.95,1248,74.0,5.0,8.34,5.25,3.09,5,2274.51,1.248
293,Honda Jazz VX,Delhi,2015,62178,Petrol,Manual,First,18.2,1199,88.7,5.0,8.85,4.85,4.0,8,3962.99,1.199
298,Toyota Innova Crysta 2.4 ZX MT,Chennai,2016,48000,Diesel,Manual,First,13.68,2393,147.8,7.0,25.4,20.25,5.15,7,4070.18,2.393
303,Honda City i-VTEC CVT ZX,Mumbai,2017,15000,Petrol,Automatic,First,18.0,1497,117.3,5.0,16.67,12.69,3.98,6,966.67,1.497
310,Mercedes-Benz GLE 250d,Hyderabad,2017,29000,Diesel,Automatic,First,17.9,2143,201.15,5.0,79.43,57.0,22.43,6,1879.33,2.143
314,Honda Brio 1.2 VX MT,Kochi,2012,91931,Petrol,Manual,First,18.5,1198,86.8,5.0,6.62,3.13,3.49,11,5764.32,1.198
